"filename", "language", "JSON", "TypeScript", "TypeScript React", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Avet\Sources\tourtool-client\src\resources\icons\lms.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Avet\Sources\tourtool-client\src\resources\icons\monsterDYP.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Avet\Sources\tourtool-client\src\resources\icons\roundRobin.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Avet\Sources\tourtool-client\src\resources\icons\single.svg", "XML", 0, 0, 0, 13, 0, 0, 1, 2, 16
"c:\Users\Avet\Sources\tourtool-client\src\resources\icons\teams.svg", "XML", 0, 0, 0, 13, 0, 0, 1, 2, 16
"c:\Users\Avet\Sources\tourtool-client\src\services\player.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 1, 7, 37
"c:\Users\Avet\Sources\tourtool-client\src\services\tournament.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Avet\Sources\tourtool-client\src\services\user.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 1, 16, 101
"c:\Users\Avet\Sources\tourtool-client\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Avet\Sources\tourtool-client\src\styles\mainStyles.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 1, 3, 69
"c:\Users\Avet\Sources\tourtool-client\src\styles\theme.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 5, 3, 27
"c:\Users\Avet\Sources\tourtool-client\src\types\entities.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 2, 22, 133
"c:\Users\Avet\Sources\tourtool-client\src\types\error.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 1, 21
"c:\Users\Avet\Sources\tourtool-client\src\types\main.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Avet\Sources\tourtool-client\src\types\redux.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 1, 7, 23
"c:\Users\Avet\Sources\tourtool-client\src\types\user.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 9, 16, 71
